Student_ID,Attendance_Percent,Average_Marks,Assignments_Submitted,Late_Submissions,Previous_Failures,Attendance_Trend,Absenteeism_Risk,Late_Submission_Risk,Dropout_Risk
1,81,37,8,4,3,Stable,Low,High,Low
2,44,83,2,3,4,Increasing,High,Low,Medium
3,90,54,2,8,1,Decreasing,Medium,High,Medium
4,50,81,5,5,4,Stable,Low,Low,Low
5,53,20,9,5,3,Increasing,High,Low,Medium
6,32,44,5,1,3,Increasing,Medium,Low,Low
7,51,64,10,5,0,Stable,High,High,High
8,82,68,10,6,0,Increasing,Low,High,Medium
9,31,35,5,7,1,Stable,High,High,Low
10,59,38,0,7,0,Decreasing,High,High,Low
11,67,42,4,8,2,Increasing,High,High,Low
12,31,44,5,9,1,Increasing,Low,Low,Low
13,93,35,7,10,2,Decreasing,Medium,High,Low
14,89,73,0,2,0,Increasing,Low,High,High
15,50,92,4,9,1,Increasing,High,High,High
16,62,20,2,6,3,Stable,Low,High,High
17,87,61,1,6,4,Increasing,Low,High,Low
18,51,38,10,0,3,Decreasing,High,Low,High
19,78,53,7,7,2,Increasing,Medium,High,Low
20,88,99,6,3,3,Stable,Medium,Low,High
21,71,74,9,4,3,Decreasing,High,Low,High
22,89,37,6,5,4,Decreasing,Medium,Low,Low
23,44,53,4,2,4,Decreasing,Low,Low,Medium
24,91,64,8,4,3,Decreasing,Low,High,High
25,91,25,4,9,4,Stable,Low,High,Medium
26,76,40,1,4,3,Stable,Medium,High,High
27,91,89,2,0,1,Stable,Low,Low,Medium
28,80,67,3,2,3,Stable,Medium,High,High
29,84,58,4,2,0,Increasing,Medium,Low,Low
30,93,50,2,0,4,Stable,Medium,Low,High
31,32,29,6,6,4,Increasing,High,Low,High
32,80,49,4,0,2,Decreasing,Low,Low,High
33,36,37,4,6,2,Increasing,High,High,High
34,50,79,5,3,0,Increasing,Medium,Low,Medium
35,68,92,6,8,4,Increasing,Low,Low,Low
36,47,34,9,6,4,Stable,High,Low,Low
37,33,23,9,4,2,Stable,High,High,Low
38,89,82,7,6,2,Decreasing,Medium,High,Low
39,43,59,8,8,3,Stable,High,High,Low
40,38,28,10,9,4,Increasing,Medium,Low,Low
41,82,28,3,5,4,Stable,Low,High,Low
42,31,45,4,0,3,Stable,High,Low,Low
43,89,23,4,5,4,Increasing,Low,High,Medium
44,73,35,7,0,0,Decreasing,High,Low,High
45,37,34,8,3,2,Stable,High,High,High
46,76,71,6,7,2,Decreasing,Medium,High,Medium
47,64,88,4,4,2,Increasing,High,High,Low
48,65,24,2,4,1,Stable,High,Low,High
49,79,39,0,9,0,Decreasing,Medium,High,High
50,33,98,10,10,0,Decreasing,High,High,Medium
51,31,37,8,7,3,Increasing,High,Low,Low
52,35,21,4,7,1,Stable,High,High,High
53,83,32,8,0,4,Decreasing,High,Low,Low
54,33,23,9,4,0,Decreasing,High,High,Low
55,83,61,3,4,1,Decreasing,Medium,High,Medium
56,92,93,4,7,1,Decreasing,Low,High,Low
57,47,80,3,0,0,Decreasing,High,Low,Low
58,73,27,1,6,3,Decreasing,High,High,High
59,63,86,0,6,1,Decreasing,Medium,High,High
60,91,82,7,8,2,Decreasing,High,Low,High
61,43,28,3,1,1,Decreasing,High,Low,High
62,77,30,4,2,4,Decreasing,High,Low,Low
63,44,61,5,3,0,Stable,High,Low,High
